sensor A4,sensor A5,sensor A6,sensor A7,sensor A8,sensor A9,sensor A10,sensor A11,sensor A12,sensor A13
0.0,14.0,14.4,15.3,15.0,14.1,13.7,13.7,14.0,13.2
0.0,13.8,14.3,15.3,15.1,14.2,13.7,13.7,14.0,13.0
0.0,13.9,14.4,15.2,15.3,14.2,13.8,13.8,14.0,12.9
0.0,13.9,14.4,15.2,15.3,14.2,13.8,13.8,14.0,12.9
0.0,13.9,14.5,15.0,15.1,14.0,13.7,13.7,13.8,12.7
0.0,13.7,14.6,14.9,15.1,13.9,13.6,13.6,13.7,12.5
0.0,13.6,14.7,14.8,14.9,13.7,13.3,13.6,13.8,12.4
0.0,13.6,14.7,14.8,14.9,13.7,13.3,13.6,13.8,12.4
0.0,13.5,14.6,14.6,14.9,13.6,13.4,13.7,13.8,12.5
0.0,13.5,14.6,14.5,14.9,13.5,13.4,13.6,13.8,12.6
0.0,13.5,14.7,14.5,14.8,13.4,13.5,13.5,13.8,12.5
0.0,13.5,14.7,14.5,14.8,13.4,13.5,13.5,13.8,12.5
0.0,13.5,14.6,14.4,14.7,13.4,13.5,13.6,13.9,12.4
0.0,13.5,14.5,14.2,14.6,13.3,13.5,13.5,13.7,12.4
0.0,13.5,14.4,14.2,14.3,13.3,13.2,13.3,13.5,12.3
0.0,13.5,14.4,14.2,14.3,13.3,13.2,13.3,13.5,12.3
0.0,13.2,14.2,14.0,14.3,13.1,13.2,13.2,13.3,12.3
0.0,13.2,14.2,14.1,14.2,13.1,13.0,13.2,13.2,12.1
0.0,13.2,14.2,14.1,14.2,13.1,13.0,13.2,13.2,12.1
0.0,13.2,14.3,14.3,14.2,13.1,13.0,13.3,13.3,12.1
0.0,13.1,14.3,14.4,14.3,13.1,13.2,13.4,13.4,12.0
0.0,13.3,14.4,14.5,14.4,13.2,13.3,13.5,13.5,12.2
0.0,13.3,14.4,14.5,14.4,13.2,13.3,13.5,13.5,12.2
0.0,13.5,14.6,14.5,14.5,13.3,13.4,13.6,13.7,12.3
0.0,13.6,14.7,14.6,14.7,13.4,13.6,13.6,13.8,12.4
0.0,13.7,14.7,14.8,14.9,13.5,13.7,13.7,14.0,12.4
0.0,13.7,14.7,14.8,14.9,13.5,13.7,13.7,14.0,12.4
0.0,13.7,14.8,15.0,14.9,13.6,13.6,13.7,14.0,12.3
0.0,13.9,14.8,15.2,14.9,13.8,13.7,13.9,14.1,12.4
0.0,14.1,14.8,15.4,15.3,14.0,13.7,13.9,14.1,12.6
0.0,14.1,14.8,15.4,15.3,14.0,13.7,13.9,14.1,12.6
0.0,14.2,14.9,15.5,15.2,14.1,13.9,14.1,14.2,12.8
0.0,14.3,15.2,15.6,15.5,14.1,14.1,14.4,14.4,13.2
0.0,14.4,15.3,15.5,15.6,14.2,14.2,14.3,14.5,13.1
0.0,14.4,15.3,15.5,15.6,14.2,14.2,14.3,14.5,13.1
0.0,14.5,15.3,15.4,15.5,14.4,14.2,14.4,14.2,13.3
0.0,14.4,15.2,15.4,15.6,14.3,14.3,14.5,14.3,13.4
0.0,14.2,15.3,15.5,15.5,14.3,14.4,14.4,14.3,13.3
0.0,14.2,15.3,15.5,15.5,14.3,14.4,14.4,14.3,13.3
0.0,14.3,15.3,15.4,15.4,14.1,14.2,14.2,14.3,13.1
0.0,14.3,15.1,15.3,15.3,14.1,14.2,14.2,14.2,13.0
0.0,14.2,15.1,15.4,15.1,14.0,14.0,14.2,14.0,13.0
0.0,14.2,15.1,15.4,15.1,14.0,14.0,14.2,14.0,13.0
0.0,14.1,15.1,15.4,15.1,14.0,14.0,14.0,14.0,13.1
0.0,14.0,15.1,15.3,15.1,14.2,14.0,14.0,14.2,13.1
0.0,13.9,15.0,15.3,15.1,14.0,13.8,13.7,13.8,12.9
0.0,13.9,15.0,15.3,15.1,14.0,13.8,13.7,13.8,12.9
0.0,13.6,14.6,14.8,14.8,13.7,13.6,13.3,13.6,12.6
0.0,13.2,14.2,14.7,14.5,13.5,13.3,13.1,13.3,12.4
0.0,13.0,14.0,14.3,14.4,13.2,13.1,12.8,13.0,12.2
0.0,13.0,14.0,14.3,14.4,13.2,13.1,12.8,13.0,12.2
0.0,12.7,13.7,13.9,14.1,13.0,13.0,12.5,12.8,12.0
0.0,12.8,13.6,13.8,13.9,13.0,13.0,12.3,12.7,11.9
