sensor A4,sensor A5,sensor A6,sensor A7,sensor A8,sensor A9,sensor A10,sensor A11,sensor A12,sensor A13
0.0,40.3,41.7,40.6,40.8,40.3,40.8,40.7,39.1,39.3
0.0,40.3,41.3,40.2,40.8,40.1,40.8,40.0,39.4,38.8
0.0,39.7,40.8,40.5,41.6,40.3,40.4,39.8,39.5,38.7
0.0,40.0,41.1,40.5,41.4,40.5,40.4,39.8,39.2,38.9
0.0,40.0,41.1,40.5,41.4,40.5,40.4,39.8,39.2,38.9
0.0,40.2,41.3,40.9,41.8,40.4,40.2,40.2,39.6,38.6
0.0,39.4,41.8,41.1,41.6,40.4,40.0,40.4,40.3,38.8
0.0,40.1,41.7,41.5,41.8,40.6,40.3,40.7,40.3,38.6
0.0,40.1,41.7,41.5,41.8,40.6,40.3,40.7,40.3,38.6
0.0,40.1,41.3,41.7,42.0,40.4,40.1,40.3,40.2,38.8
0.0,39.9,41.4,41.3,41.9,40.2,40.2,40.5,40.5,38.8
0.0,40.1,41.8,41.4,42.2,40.4,40.6,40.6,40.4,38.7
0.0,40.1,41.8,41.4,42.2,40.4,40.6,40.6,40.4,38.7
6.2,41.0,42.3,42.4,42.5,40.8,41.3,41.1,41.1,39.5
10.0,41.4,42.8,42.8,43.0,41.0,42.0,42.0,41.5,40.5
12.1,41.7,42.9,43.0,43.7,41.5,42.3,42.7,42.1,40.8
12.1,41.7,42.9,43.0,43.7,41.5,42.3,42.7,42.1,40.8
13.4,42.8,43.5,44.3,45.1,42.6,43.6,43.5,43.5,42.1
20.5,44.0,43.9,45.3,45.9,43.5,43.8,44.2,44.7,43.4
25.7,44.9,44.9,46.0,46.3,43.8,43.8,44.3,44.7,43.8
25.7,44.9,44.9,46.0,46.3,43.8,43.8,44.3,44.7,43.8
29.5,45.1,46.0,46.0,46.4,44.1,43.9,44.6,44.6,44.1
33.2,45.0,46.1,46.8,46.8,44.4,43.7,45.5,44.8,44.6
36.8,45.6,46.9,47.1,46.5,44.5,44.4,45.2,45.0,44.2
36.8,45.6,46.9,47.1,46.5,44.5,44.4,45.2,45.0,44.2
40.5,45.8,47.2,47.2,47.2,44.7,45.5,45.1,45.3,44.1
45.1,45.7,47.8,47.7,47.6,44.9,45.4,45.0,45.1,43.7
39.4,45.2,47.3,47.0,46.8,44.8,44.9,45.4,44.8,43.9
39.4,45.2,47.3,47.0,46.8,44.8,44.9,45.4,44.8,43.9
43.1,45.4,47.6,46.8,46.4,44.5,44.6,45.1,44.2,44.0
37.7,45.5,47.1,45.9,46.3,43.8,44.8,44.6,43.7,43.9
40.7,45.3,47.0,46.4,46.3,44.5,45.2,44.5,43.8,44.1
40.7,45.3,47.0,46.4,46.3,44.5,45.2,44.5,43.8,44.1
43.3,45.2,46.4,46.2,46.1,44.5,45.0,44.6,43.4,44.2
44.0,44.9,46.5,46.3,45.9,44.3,44.8,44.6,43.6,44.5
38.0,44.3,46.3,46.0,45.6,43.8,44.0,43.9,43.1,43.9
38.0,44.3,46.3,46.0,45.6,43.8,44.0,43.9,43.1,43.9
32.6,44.3,45.5,45.7,45.1,43.4,43.8,43.5,42.8,43.8
27.9,43.9,45.3,45.9,45.2,43.9,44.6,44.2,43.7,43.8
30.7,43.9,45.2,45.3,46.1,43.5,44.5,44.5,43.9,44.0
30.7,43.9,45.2,45.3,46.1,43.5,44.5,44.5,43.9,44.0
26.7,44.0,44.6,44.2,45.6,43.1,44.1,43.8,44.1,44.0
24.1,43.7,44.2,43.9,44.3,42.8,43.7,43.5,43.9,43.1
24.1,43.7,44.2,43.9,44.3,42.8,43.7,43.5,43.9,43.1
22.7,43.4,44.5,44.0,44.0,43.0,43.3,42.7,43.5,42.8
22.9,43.6,44.3,43.7,44.3,42.2,43.2,42.6,43.2,42.5
22.8,43.6,44.7,43.5,44.2,41.9,43.2,42.0,43.1,42.6
22.8,43.6,44.7,43.5,44.2,41.9,43.2,42.0,43.1,42.6
23.0,43.5,45.0,44.0,44.2,42.7,43.0,42.6,42.7,43.0
23.0,43.2,45.5,44.0,43.6,42.6,43.5,42.2,42.9,42.4
21.9,42.8,45.2,44.0,43.8,42.5,43.4,42.7,42.6,41.6
21.9,42.8,45.2,44.0,43.8,42.5,43.4,42.7,42.6,41.6
