sensor A4,sensor A5,sensor A6,sensor A7,sensor A8,sensor A9,sensor A10,sensor A11,sensor A12,sensor A13
0.0,9.5,10.1,10.5,10.1,9.2,9.7,9.1,9.4,8.0
0.0,9.4,10.1,10.1,10.1,9.0,9.3,8.8,9.2,7.9
0.0,9.2,9.8,9.8,10.2,9.0,8.9,8.4,9.2,7.6
0.0,9.2,9.8,9.8,10.2,9.0,8.9,8.4,9.2,7.6
0.0,8.9,9.5,9.4,10.1,8.7,8.8,8.3,8.8,7.3
0.0,8.7,9.5,9.2,9.6,8.6,8.5,8.3,8.6,7.6
0.0,8.6,9.4,9.0,9.5,8.5,8.4,8.2,8.5,7.4
0.0,8.6,9.4,9.0,9.5,8.5,8.4,8.2,8.5,7.4
0.0,9.4,10.8,9.6,11.1,9.6,9.6,9.4,9.6,8.8
0.0,11.0,12.1,10.9,12.6,11.0,11.0,10.5,10.7,10.0
0.0,12.2,13.1,13.1,13.4,12.5,12.0,11.8,11.7,10.9
0.0,12.2,13.1,13.1,13.4,12.5,12.0,11.8,11.7,10.9
0.0,13.1,13.8,13.7,14.2,13.9,13.4,13.9,13.4,12.7
0.0,16.4,18.7,19.0,19.3,19.1,18.0,18.7,18.1,17.9
0.0,21.7,23.2,23.4,24.5,22.9,23.1,23.4,22.9,22.1
0.0,21.7,23.2,23.4,24.5,22.9,23.1,23.4,22.9,22.1
0.0,25.5,28.1,27.4,29.1,26.9,27.9,27.3,27.4,26.4
0.0,29.0,30.5,30.5,32.1,29.4,30.3,30.2,29.6,29.2
6.3,31.7,32.8,33.2,34.9,32.1,32.5,32.9,31.9,31.6
6.3,31.7,32.8,33.2,34.9,32.1,32.5,32.9,31.9,31.6
7.9,33.9,35.6,35.4,37.3,34.9,34.8,34.9,33.9,34.0
8.9,35.5,37.7,37.3,39.1,37.0,36.9,36.5,36.0,36.0
9.7,37.9,39.0,39.2,40.4,38.4,38.2,38.4,37.6,37.3
9.7,37.9,39.0,39.2,40.4,38.4,38.2,38.4,37.6,37.3
10.5,39.2,40.3,41.0,42.1,40.3,39.5,40.1,38.9,38.6
11.5,40.4,41.8,42.5,43.6,41.0,40.9,41.9,41.2,39.6
12.3,42.0,43.2,43.5,44.9,41.7,42.4,43.3,42.3,40.9
12.3,42.0,43.2,43.5,44.9,41.7,42.4,43.3,42.3,40.9
13.2,43.2,44.3,44.9,45.9,43.0,43.9,44.7,43.2,42.4
14.0,44.2,45.2,45.7,46.6,44.2,45.1,45.2,43.9,43.5
14.8,45.1,46.4,46.6,47.4,44.9,45.7,46.1,45.0,44.5
14.8,45.1,46.4,46.6,47.4,44.9,45.7,46.1,45.0,44.5
15.4,46.1,47.1,47.4,48.1,46.0,46.5,46.8,45.3,45.3
16.2,46.5,48.1,48.0,48.5,46.9,47.0,47.9,45.8,45.9
17.0,47.1,49.0,48.3,49.3,47.0,47.4,47.9,46.6,46.3
17.0,47.1,49.0,48.3,49.3,47.0,47.4,47.9,46.6,46.3
17.7,48.1,49.3,48.8,49.4,47.5,47.8,48.2,47.4,46.4
18.1,48.2,49.5,49.0,50.0,48.0,48.3,48.3,47.8,46.5
18.2,48.7,49.9,49.5,50.3,48.3,48.9,48.7,48.0,46.9
18.2,48.7,49.9,49.5,50.3,48.3,48.9,48.7,48.0,46.9
18.5,48.9,50.2,50.0,50.5,48.9,48.7,49.2,48.4,47.7
19.0,49.3,50.0,50.4,50.5,48.9,49.5,49.8,49.0,48.2
19.4,49.4,50.6,50.8,51.3,49.4,49.6,50.1,49.6,48.3
19.4,49.4,50.6,50.8,51.3,49.4,49.6,50.1,49.6,48.3
19.8,50.1,51.0,51.6,51.1,49.3,50.1,50.1,49.9,49.1
19.7,50.7,51.6,52.1,51.4,49.7,50.7,50.7,50.5,49.9
19.7,50.7,51.6,52.1,51.4,49.7,50.7,50.7,50.5,49.9
19.8,50.7,51.2,52.2,51.6,50.5,50.9,50.9,50.8,50.3
20.2,50.9,51.9,52.4,52.3,50.4,52.0,51.4,50.5,50.4
21.0,51.7,52.4,53.7,53.4,51.7,53.2,52.8,51.5,51.0
21.0,51.7,52.4,53.7,53.4,51.7,53.2,52.8,51.5,51.0
21.9,52.6,52.9,54.0,54.3,51.8,53.7,53.6,51.9,51.6
21.9,52.5,53.5,54.2,53.9,51.6,53.8,53.5,52.2,51.9
21.6,52.9,54.4,54.4,54.7,52.9,54.1,54.3,53.0,52.6
21.6,52.9,54.4,54.4,54.7,52.9,54.1,54.3,53.0,52.6
22.4,54.0,55.4,54.4,55.6,53.4,54.2,54.4,53.0,52.8
22.6,54.4,55.9,55.1,56.4,53.8,54.5,54.4,54.1,53.6
22.4,54.2,55.6,55.4,56.4,53.8,54.6,54.8,54.5,53.8
22.4,54.2,55.6,55.4,56.4,53.8,54.6,54.8,54.5,53.8
21.7,54.9,55.8,55.3,56.6,53.7,54.5,54.3,54.3,53.5
21.9,55.2,55.7,55.3,56.4,54.6,55.0,54.6,55.0,54.0
22.2,55.5,55.7,56.1,56.3,55.0,54.9,54.5,55.2,54.0
22.2,55.5,55.7,56.1,56.3,55.0,54.9,54.5,55.2,54.0
23.7,55.9,56.1,56.7,56.4,55.0,54.9,54.9,54.8,54.3
24.9,55.4,56.4,56.3,56.5,55.0,55.4,55.3,54.0,53.5
25.9,54.5,56.0,56.2,56.7,55.1,55.6,54.7,54.1,53.4
