sensor A4,sensor A5,sensor A6,sensor A7,sensor A8,sensor A9,sensor A10,sensor A11,sensor A12,sensor A13
27.0,48.6,49.3,49.1,49.9,49.6,48.1,48.1,48.5,47.0
25.5,48.0,49.1,49.0,50.0,49.5,47.7,47.6,48.6,46.0
25.5,48.0,49.1,49.0,50.0,49.5,47.7,47.6,48.6,46.0
24.4,47.6,49.1,49.0,49.4,49.5,48.0,47.4,48.8,45.7
23.7,47.0,48.2,48.8,49.1,49.4,47.6,47.0,48.5,45.7
22.3,46.4,48.7,48.4,48.8,49.3,47.0,46.7,48.2,45.5
22.3,46.4,48.7,48.4,48.8,49.3,47.0,46.7,48.2,45.5
21.0,46.1,48.5,47.9,49.1,49.3,47.5,47.1,48.0,45.2
19.7,46.4,48.6,48.4,48.9,48.8,48.2,47.8,47.8,45.5
21.2,46.3,49.2,48.5,49.5,48.4,48.6,47.8,48.2,46.0
21.2,46.3,49.2,48.5,49.5,48.4,48.6,47.8,48.2,46.0
22.5,46.4,49.9,47.8,49.5,48.3,48.3,47.7,48.1,46.2
21.7,46.6,49.2,48.3,48.8,47.5,48.6,48.3,48.7,47.1
21.8,46.5,50.1,48.1,49.3,47.4,48.1,47.7,47.6,46.0
21.8,46.5,50.1,48.1,49.3,47.4,48.1,47.7,47.6,46.0
21.2,46.2,49.8,47.8,48.6,46.9,47.1,48.2,48.4,45.7
21.2,45.7,49.5,48.0,48.5,47.2,48.0,48.2,47.9,45.0
19.9,45.1,49.1,48.0,49.1,47.5,47.9,48.1,47.7,45.0
19.9,45.1,49.1,48.0,49.1,47.5,47.9,48.1,47.7,45.0
18.9,45.6,49.0,47.7,49.0,48.0,48.0,48.1,47.9,45.4
18.3,45.8,47.9,47.6,48.1,47.4,47.0,47.9,47.9,45.2
17.8,46.1,48.2,47.5,48.0,46.6,46.7,46.9,47.5,45.0
17.8,46.1,48.2,47.5,48.0,46.6,46.7,46.9,47.5,45.0
17.8,45.6,48.2,47.4,47.8,46.1,46.4,47.4,47.7,44.4
17.4,44.8,47.4,46.6,47.1,45.6,45.8,47.2,47.3,44.2
16.3,44.2,47.8,46.8,46.3,44.9,46.1,47.6,47.6,44.5
16.3,44.2,47.8,46.8,46.3,44.9,46.1,47.6,47.6,44.5
