sensor A4,sensor A5,sensor A6,sensor A7,sensor A8,sensor A9,sensor A10,sensor A11,sensor A12,sensor A13
14.9,44.0,47.8,46.4,46.4,45.4,44.9,47.2,46.3,44.4
14.6,44.5,47.4,45.7,46.7,45.8,45.2,46.6,45.9,44.4
14.6,44.5,47.4,45.7,46.7,45.8,45.2,46.6,45.9,44.4
14.5,44.6,47.2,45.8,46.6,45.4,45.3,45.6,46.1,44.9
15.3,44.5,46.1,45.7,47.1,45.6,45.3,45.6,45.6,45.1
14.7,44.3,45.9,45.0,47.4,46.1,46.0,45.0,46.3,44.0
14.7,44.3,45.9,45.0,47.4,46.1,46.0,45.0,46.3,44.0
13.8,44.7,45.5,45.7,47.0,46.2,46.6,45.7,46.7,44.2
15.5,44.6,44.8,45.9,47.0,46.4,46.5,45.3,46.6,44.4
13.9,44.6,44.3,45.9,47.2,46.6,46.3,45.0,46.8,44.4
13.9,44.6,44.3,45.9,47.2,46.6,46.3,45.0,46.8,44.4
12.7,44.1,44.5,45.9,47.6,47.0,46.4,45.0,46.7,44.9
14.4,44.2,45.0,45.9,47.0,46.8,45.7,45.0,46.1,44.6
15.9,44.3,45.5,46.4,47.2,46.1,45.8,44.4,46.0,45.1
15.9,44.3,45.5,46.4,47.2,46.1,45.8,44.4,46.0,45.1
17.8,44.9,45.9,46.5,46.7,45.3,46.0,44.3,46.1,45.1
17.4,44.8,45.9,46.4,46.8,45.1,45.8,44.1,46.2,44.8
16.8,45.1,46.0,47.0,46.6,45.3,46.3,43.8,46.1,45.3
16.8,45.1,46.0,47.0,46.6,45.3,46.3,43.8,46.1,45.3
16.0,45.1,46.5,47.1,46.7,45.7,47.1,44.4,46.5,44.8
15.3,44.8,46.9,46.8,46.6,45.6,47.3,44.7,46.9,45.4
18.7,45.9,47.6,47.6,47.3,46.4,47.7,45.9,47.9,46.7
18.7,45.9,47.6,47.6,47.3,46.4,47.7,45.9,47.9,46.7
20.5,46.5,48.4,48.8,48.3,47.1,48.5,46.7,48.4,47.5
20.8,47.0,49.0,49.3,48.1,47.2,49.3,47.8,49.1,48.2
21.8,47.2,49.1,50.2,48.1,47.5,49.4,48.3,49.2,48.4
21.8,47.2,49.1,50.2,48.1,47.5,49.4,48.3,49.2,48.4
21.7,47.3,49.0,50.3,48.5,48.0,49.3,47.8,49.9,49.0
21.5,46.9,49.6,49.9,48.7,48.0,49.4,48.0,49.7,49.1
21.7,47.4,49.9,50.1,48.8,48.8,50.0,48.7,49.4,49.1
21.7,47.4,49.9,50.1,48.8,48.8,50.0,48.7,49.4,49.1
21.4,47.0,50.1,49.9,48.8,48.5,48.8,48.8,48.9,49.1
21.2,46.6,50.1,49.2,48.8,48.0,49.3,49.1,48.5,48.3
20.9,46.8,50.2,48.9,48.7,47.5,48.9,48.5,48.5,48.1
20.9,46.8,50.2,48.9,48.7,47.5,48.9,48.5,48.5,48.1
20.3,46.8,50.5,48.3,48.9,47.3,48.6,48.4,48.3,48.0
19.1,46.4,49.7,47.5,48.0,47.3,48.2,48.6,48.3,47.2
18.6,46.6,48.8,46.8,47.6,47.4,48.1,48.2,48.1,47.3
18.6,46.6,48.8,46.8,47.6,47.4,48.1,48.2,48.1,47.3
18.8,47.0,48.2,46.8,47.5,47.8,47.9,48.4,48.4,46.5
18.5,47.3,48.4,47.3,46.8,47.8,47.9,48.5,47.4,45.7
20.1,46.4,48.3,47.0,46.1,47.5,48.2,48.1,47.8,45.1
20.1,46.4,48.3,47.0,46.1,47.5,48.2,48.1,47.8,45.1
20.7,46.9,47.4,47.4,46.1,47.3,47.6,47.5,47.8,44.8
20.3,46.8,47.2,46.9,45.9,47.1,47.7,47.1,47.9,45.2
20.7,47.1,47.0,47.4,45.9,46.5,47.3,47.5,47.7,45.1
20.7,47.1,47.0,47.4,45.9,46.5,47.3,47.5,47.7,45.1
21.2,47.5,46.7,47.5,46.2,46.4,46.9,47.0,47.3,45.0
21.0,47.5,46.1,47.2,46.1,46.8,46.9,47.0,47.1,44.7
21.3,46.9,46.6,46.8,46.2,46.2,46.9,46.6,46.5,44.1
21.3,46.9,46.6,46.8,46.2,46.2,46.9,46.6,46.5,44.1
21.3,47.1,46.5,46.9,46.6,46.0,46.9,46.6,46.7,43.9
21.5,47.1,46.6,47.4,47.0,46.8,47.0,47.1,46.9,44.4
21.5,47.1,46.6,47.4,47.0,46.8,47.0,47.1,46.9,44.4
21.6,46.9,47.2,47.6,47.6,46.4,47.3,47.3,46.2,44.8
20.6,46.3,47.3,47.5,47.5,46.2,47.2,46.8,46.3,44.8
21.4,46.4,47.7,47.8,47.4,46.1,47.3,46.7,45.8,44.9
21.4,46.4,47.7,47.8,47.4,46.1,47.3,46.7,45.8,44.9
22.1,46.7,47.6,47.7,47.4,46.3,47.3,46.3,45.5,44.9
23.0,46.3,47.7,47.7,47.5,45.9,47.7,47.0,45.8,44.6
23.6,46.1,47.4,47.7,47.8,45.6,47.9,47.1,45.6,44.7
23.6,46.1,47.4,47.7,47.8,45.6,47.9,47.1,45.6,44.7
24.4,46.4,46.8,47.5,48.0,46.1,47.3,46.8,46.3,44.7
24.9,47.1,46.7,48.0,47.6,46.3,46.8,47.1,46.6,44.5
25.1,47.7,46.7,47.7,46.9,46.7,47.1,47.1,46.3,44.5
25.1,47.7,46.7,47.7,46.9,46.7,47.1,47.1,46.3,44.5
24.8,47.4,46.4,47.3,46.9,46.9,47.1,46.5,46.7,44.6
25.6,47.8,46.4,47.3,46.8,46.4,47.6,46.7,46.5,45.0
27.0,47.7,46.8,46.9,46.8,47.0,47.6,46.8,46.2,45.0
27.0,47.7,46.8,46.9,46.8,47.0,47.6,46.8,46.2,45.0
27.6,47.4,47.0,47.1,47.1,47.3,48.1,47.2,46.7,45.4
27.9,46.6,47.0,47.8,47.4,47.4,47.8,47.2,46.7,46.1
28.3,46.4,47.1,47.7,48.1,47.2,47.5,47.2,46.8,46.8
28.3,46.4,47.1,47.7,48.1,47.2,47.5,47.2,46.8,46.8
27.9,46.8,47.0,48.3,48.2,46.1,47.5,47.2,47.4,46.4
27.9,47.1,46.4,48.7,48.6,46.1,46.9,47.3,46.9,46.4
27.5,47.8,46.9,48.9,49.3,45.9,47.5,46.5,47.3,47.2
27.5,47.8,46.9,48.9,49.3,45.9,47.5,46.5,47.3,47.2
26.4,47.4,46.5,50.0,49.1,45.6,47.8,46.3,48.3,47.5
25.9,47.5,46.8,48.9,48.6,45.8,49.0,46.7,48.4,46.7
26.3,47.0,47.8,48.8,48.8,45.4,48.2,46.6,47.8,47.6
26.3,47.0,47.8,48.8,48.8,45.4,48.2,46.6,47.8,47.6
26.3,47.0,47.8,49.1,48.6,45.8,48.8,46.3,47.4,46.9
26.1,48.2,48.6,49.7,48.3,45.5,49.7,46.7,48.1,46.5
26.5,47.9,47.7,49.9,47.5,45.2,49.5,47.1,47.9,46.7
26.5,47.9,47.7,49.9,47.5,45.2,49.5,47.1,47.9,46.7
25.7,48.2,48.2,50.1,47.8,45.6,49.7,47.7,47.5,46.6
25.6,48.3,48.6,49.5,47.3,45.5,50.2,47.7,47.2,46.1
26.7,48.4,48.3,49.1,46.7,45.9,49.3,46.9,46.2,46.5
26.7,48.4,48.3,49.1,46.7,45.9,49.3,46.9,46.2,46.5
27.2,47.4,47.9,49.4,46.1,45.6,48.8,46.0,46.1,46.7
27.2,47.4,47.6,49.0,45.4,45.4,48.8,45.7,45.7,46.5
26.2,47.5,47.2,49.0,44.9,45.6,49.0,45.7,46.0,46.7
26.2,47.5,47.2,49.0,44.9,45.6,49.0,45.7,46.0,46.7
25.3,47.5,47.6,48.3,45.5,45.2,48.4,45.5,45.6,46.7
25.9,46.9,47.9,47.6,45.6,45.5,47.6,45.3,45.3,46.8
24.4,46.7,48.0,47.2,46.2,44.8,47.2,44.9,44.8,45.9
24.4,46.7,48.0,47.2,46.2,44.8,47.2,44.9,44.8,45.9
23.1,46.9,46.7,47.2,46.6,44.2,46.6,45.2,44.0,46.1
23.4,46.3,46.3,46.6,47.0,45.1,46.6,45.3,44.3,45.6
23.4,46.3,46.3,46.6,47.0,45.1,46.6,45.3,44.3,45.6
22.7,46.0,46.4,46.5,46.2,45.1,45.5,45.3,44.7,44.3
21.6,45.1,46.2,46.3,46.2,44.2,44.8,45.1,44.7,44.0
21.0,44.3,45.8,46.4,46.5,45.0,44.1,44.2,45.2,43.5
21.0,44.3,45.8,46.4,46.5,45.0,44.1,44.2,45.2,43.5
20.1,44.9,45.6,46.3,46.9,44.3,44.7,43.6,45.0,43.1
20.7,44.7,45.8,45.5,46.0,43.6,44.7,44.2,45.0,43.4
21.1,44.6,46.0,45.1,46.1,44.3,44.9,43.7,44.6,43.7
21.1,44.6,46.0,45.1,46.1,44.3,44.9,43.7,44.6,43.7
20.9,45.4,46.3,45.7,46.6,43.7,44.8,43.8,44.8,44.2
20.9,44.5,46.8,45.6,46.2,43.1,45.3,43.4,44.7,44.7
20.2,45.5,47.3,45.7,45.6,43.1,45.4,43.2,45.0,44.8
20.2,45.5,47.3,45.7,45.6,43.1,45.4,43.2,45.0,44.8
20.5,45.4,46.8,45.4,45.3,43.8,44.1,44.3,45.2,45.4
20.4,44.1,46.2,46.1,45.9,44.3,45.0,43.7,44.8,45.3
20.3,44.9,46.1,46.1,46.3,43.5,45.0,43.4,45.0,44.5
20.3,44.9,46.1,46.1,46.3,43.5,45.0,43.4,45.0,44.5
19.4,44.7,46.8,46.5,46.6,43.1,45.6,43.1,45.2,43.7
19.5,44.3,46.5,46.6,46.2,43.7,45.1,44.1,44.2,44.2
19.6,44.6,46.3,47.1,45.9,44.5,44.9,44.2,44.5,43.9
19.6,44.6,46.3,47.1,45.9,44.5,44.9,44.2,44.5,43.9
19.2,44.0,46.1,47.2,45.6,44.9,44.8,43.8,45.5,44.0
19.9,44.2,46.2,47.4,45.8,44.6,44.2,43.9,45.7,44.5
18.7,44.3,45.3,47.5,45.2,45.0,44.2,43.7,45.9,44.7
18.7,44.3,45.3,47.5,45.2,45.0,44.2,43.7,45.9,44.7
17.9,43.4,44.5,47.7,45.8,45.4,44.9,44.8,46.2,45.1
17.9,44.4,45.3,47.1,46.3,45.4,44.5,44.6,46.3,45.0
18.2,45.4,46.2,48.0,46.7,45.7,45.7,45.7,46.3,44.6
18.2,45.4,46.2,48.0,46.7,45.7,45.7,45.7,46.3,44.6
19.4,45.3,46.6,48.0,46.6,46.2,46.7,46.5,47.3,44.5
21.9,46.6,47.3,48.3,46.2,47.1,47.9,47.1,47.4,43.7
22.2,47.6,48.0,48.6,46.0,46.8,47.9,47.2,48.1,44.0
22.2,47.6,48.0,48.6,46.0,46.8,47.9,47.2,48.1,44.0
24.6,47.3,48.6,48.9,46.3,47.4,48.4,47.0,48.1,45.2
24.3,47.3,48.6,48.3,47.2,47.7,48.3,47.6,47.8,44.0
25.6,46.6,49.0,49.3,46.2,47.7,48.1,47.1,47.6,45.5
25.6,46.6,49.0,49.3,46.2,47.7,48.1,47.1,47.6,45.5
25.5,46.7,47.8,49.7,47.1,46.9,47.7,47.5,48.5,46.3
26.8,46.6,48.0,50.2,47.2,46.9,48.2,47.3,47.5,46.0
27.3,46.3,48.3,50.5,47.4,47.2,48.1,47.7,48.0,47.2
27.3,46.3,48.3,50.5,47.4,47.2,48.1,47.7,48.0,47.2
27.5,47.8,47.5,51.2,47.6,47.0,49.5,48.5,49.2,47.7
25.7,48.4,48.5,51.1,47.7,46.6,48.2,48.0,48.6,47.9
25.6,48.7,48.2,49.8,47.1,47.5,47.6,47.7,48.9,47.6
25.6,48.7,48.2,49.8,47.1,47.5,47.6,47.7,48.9,47.6
25.9,48.9,48.7,50.1,46.6,47.0,46.3,48.6,49.9,48.7
