,min,max,mean,median,max-min magnitude,std_dev,variance
sensor A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sensor A5,12.7,14.5,13.716981132075471,13.7,1.8000000000000007,0.4483885030162519,0.20105224963715534
sensor A6,13.6,15.3,14.662264150943399,14.7,1.700000000000001,0.41797424244081943,0.1747024673439769
sensor A7,13.8,15.6,14.862264150943385,14.8,1.799999999999999,0.5196990309098065,0.27008708272859205
sensor A8,13.9,15.6,14.883018867924527,14.9,1.6999999999999993,0.44881718441005636,0.20143686502177055
sensor A9,13.0,14.4,13.700000000000005,13.7,1.4000000000000004,0.4296689244236597,0.1846153846153846
sensor A10,13.0,14.4,13.62264150943396,13.6,1.4000000000000004,0.3998276116191356,0.15986211901306235
sensor A11,12.3,14.5,13.671698113207547,13.7,2.1999999999999993,0.47812830531409173,0.22860667634252532
sensor A12,12.7,14.5,13.801886792452828,13.8,1.8000000000000007,0.42084647577039297,0.17711175616835995
sensor A13,11.9,13.4,12.618867924528303,12.5,1.5,0.4057550434653064,0.16463715529753267
