,min,max,mean,median,max-min magnitude,std_dev,variance
sensor A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sensor A5,11.5,13.4,12.121276595744675,11.9,1.9000000000000004,0.5376826970446444,0.28910268270120293
sensor A6,12.5,14.3,13.13617021276596,12.9,1.8000000000000007,0.5646951974737819,0.3188806660499536
sensor A7,12.4,14.3,13.17021276595745,13.0,1.9000000000000004,0.580073043982589,0.33648473635522663
sensor A8,12.6,14.2,13.282978723404257,13.2,1.5999999999999996,0.5040355184759218,0.2540518038852913
sensor A9,11.6,13.1,12.136170212765958,12.1,1.5,0.4715494957260788,0.22235892691951922
sensor A10,11.5,13.0,12.15957446808511,12.0,1.5,0.5491731232807648,0.3015911193339501
sensor A11,11.3,13.0,11.906382978723402,11.7,1.6999999999999993,0.5494678276450964,0.30191489361702134
sensor A12,11.3,13.4,12.193617021276596,12.0,2.0999999999999996,0.6558778569080059,0.43017576318223877
sensor A13,10.5,12.5,11.036170212765958,10.8,2.0,0.5415057637153183,0.2932284921369102
