,min,max,mean,median,max-min magnitude,std_dev,variance
sensor A4,7.7,22.1,15.14556962025316,14.4,14.400000000000002,4.027845306413663,16.22353781239857
sensor A5,41.1,45.6,43.258227848101264,43.1,4.5,1.2765747032824575,1.6296429730606943
sensor A6,41.8,46.6,44.137974683544336,44.3,4.800000000000004,1.4482795980827232,2.0975137942226545
sensor A7,42.0,46.5,44.07341772151898,44.2,4.5,0.9874480006769448,0.9750535540408956
sensor A8,40.9,46.4,43.82405063291139,43.8,5.5,1.5856095802539734,2.5141577409931815
sensor A9,39.8,45.9,42.96455696202532,42.8,6.100000000000001,1.527360550072856,2.332830249918857
sensor A10,39.2,45.3,42.640506329113926,42.7,6.099999999999994,1.6737428491137545,2.8014151249594286
sensor A11,40.5,46.1,43.26582278481011,43.2,5.600000000000001,1.4191805215713504,2.01407335280753
sensor A12,40.2,46.0,42.873417721518976,42.2,5.799999999999997,1.8024704457735365,3.2488997078870514
sensor A13,40.3,45.4,42.32784810126582,42.2,5.100000000000001,1.0746420643053916,1.1548555663745534
