,min,max,mean,median,max-min magnitude,std_dev,variance
sensor A4,12.7,28.3,21.62601156069363,21.3,15.600000000000001,3.7596178584699316,14.134726441726036
sensor A5,43.4,48.9,46.26473988439305,46.4,5.5,1.2698537575907822,1.6125285656674289
sensor A6,44.3,50.5,47.46820809248557,47.4,6.200000000000003,1.3499249430226101,1.822297351794597
sensor A7,45.0,51.2,47.760115606936445,47.6,6.200000000000003,1.367935972100535,1.8712488237666358
sensor A8,44.9,50.0,47.26358381502892,47.1,5.100000000000001,1.1663413727875975,1.3603521978760575
sensor A9,43.1,49.6,46.33294797687862,46.3,6.5,1.408244405427337,1.983152305417394
sensor A10,44.1,50.2,47.18786127167632,47.5,6.100000000000001,1.4499087955889782,2.1022355155262815
sensor A11,43.1,49.1,46.45375722543353,46.9,6.0,1.5191224092238955,2.3077328942062127
sensor A12,44.0,49.9,46.946242774566485,46.9,5.899999999999999,1.3549007897333893,1.835756150020162
sensor A13,43.1,49.1,45.598265895953745,45.2,6.0,1.3712782183583698,1.880403952144105
