,min,max,mean,median,max-min magnitude,std_dev,variance
sensor A4,12.0,51.2,32.931645569620215,32.9,39.2,9.126661604510529,83.2959520432467
sensor A5,44.4,54.2,48.99620253164557,49.2,9.800000000000004,2.199929445609457,4.839689565659533
sensor A6,45.8,55.1,49.756540084388135,49.4,9.300000000000004,2.0865849202627906,4.353836629468077
sensor A7,45.6,55.8,49.994936708860756,49.9,10.199999999999996,2.1775171811514733,4.741581074209859
sensor A8,46.0,55.2,49.8335443037975,49.7,9.200000000000003,1.9758888307277218,3.9041366713945633
sensor A9,44.1,53.3,48.72025316455696,48.7,9.199999999999996,2.0289894638563983,4.116798244440274
sensor A10,44.4,53.8,48.947890295358654,48.75,9.399999999999999,1.970256038938947,3.881908858975389
sensor A11,45.2,53.9,48.75126582278485,48.5,8.699999999999996,1.9689686939543642,3.876837717772355
sensor A12,44.7,54.0,48.76497890295355,48.6,9.299999999999997,2.0711134414858163,4.289510887503222
sensor A13,43.4,53.1,47.7930379746836,47.8,9.700000000000003,2.093292936450548,4.381875317793759
