,min,max,mean,median,max-min magnitude,std_dev,variance
sensor A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sensor A5,10.6,14.5,13.09712918660286,13.3,3.9000000000000004,0.7750256742396242,0.6006647957305842
sensor A6,11.6,15.9,14.166985645933023,14.3,4.300000000000001,0.8314208209587611,0.6912605815237403
sensor A7,11.5,15.8,14.173684210526313,14.4,4.300000000000001,0.850636817890818,0.7235829959514167
sensor A8,11.8,15.5,14.167942583732058,14.4,3.6999999999999993,0.7743335078006809,0.5995923813029072
sensor A9,10.3,14.7,13.12918660287082,13.3,4.399999999999999,0.8372688019642981,0.701019046742731
sensor A10,10.7,14.6,13.127272727272738,13.3,3.9000000000000004,0.7821154297509707,0.6117045454545456
sensor A11,10.4,14.3,13.012440191387558,13.2,3.9000000000000004,0.7838135801176743,0.6143637283768859
sensor A12,10.6,14.8,13.141148325358863,13.3,4.200000000000001,0.789370868044225,0.6231063673168933
sensor A13,9.8,13.4,12.090909090909099,12.2,3.5999999999999996,0.7368485625932945,0.5429458041958042
