,min,max,mean,median,max-min magnitude,std_dev,variance
sensor A4,23.0,58.2,35.25314285714285,33.4,35.2,7.924795864308984,62.80238949096878
sensor A5,47.8,54.2,50.622857142857164,50.2,6.400000000000006,1.7734448771665028,3.145106732348112
sensor A6,48.9,55.1,51.60742857142856,51.2,6.200000000000003,1.6794230379979591,2.820461740558294
sensor A7,48.9,55.8,52.045714285714304,51.7,6.899999999999999,1.7906755382858826,3.206518883415435
sensor A8,47.9,55.2,51.37600000000002,51.0,7.300000000000004,1.9035345224505167,3.6234436781609167
sensor A9,47.2,53.3,50.23885714285715,50.0,6.099999999999994,1.6580971149763644,2.7492860426929426
sensor A10,48.5,53.8,50.6462857142857,50.3,5.299999999999997,1.5380519955081815,2.365603940886699
sensor A11,48.1,53.9,50.70857142857144,50.3,5.799999999999997,1.724697446159233,2.9745812807881804
sensor A12,48.6,54.0,50.666857142857154,50.2,5.399999999999999,1.4342441067110825,2.0570561576354707
sensor A13,47.3,53.1,49.74342857142853,49.3,5.800000000000004,1.5157979251053533,2.297643349753694
