,min,max,mean,median,max-min magnitude,std_dev,variance
sensor A4,0.0,75.3,30.40100755667504,28.5,75.3,16.16314860166916,261.24737271963977
sensor A5,8.6,56.7,48.75692695214111,49.9,48.1,8.415040864710745,70.81291275475178
sensor A6,9.4,57.8,49.85919395465988,50.9,48.4,8.466287712538387,71.67802763147849
sensor A7,9.0,58.9,49.95415617128455,51.1,49.9,8.497341480020332,72.2048122280741
sensor A8,9.5,58.0,50.051637279597024,51.1,48.5,8.306215184810968,68.99321069638431
sensor A9,8.5,56.5,48.72947103274556,49.7,48.0,8.350344030431183,69.72824542655769
sensor A10,8.4,56.4,48.87783375314864,49.8,48.0,8.379810534162067,70.22122458845354
sensor A11,8.2,56.4,48.70050377833755,49.6,48.2,8.325371939282032,69.31181792738467
sensor A12,8.5,56.8,48.90251889168765,50.2,48.3,8.394899467742649,70.4743370735058
sensor A13,7.3,55.7,47.6324937027708,48.8,48.400000000000006,8.316933989636164,69.17139098796531
