,min,max,mean,median,max-min magnitude,std_dev,variance
sensor A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sensor A5,9.5,12.1,10.533701657458565,10.4,2.5999999999999996,0.6804590766105496,0.46302455494168177
sensor A6,10.1,13.2,11.665745856353583,11.6,3.0999999999999996,0.692770702442944,0.47993124616329
sensor A7,10.5,13.0,11.67182320441989,11.5,2.5,0.7405189559526691,0.5483683241252311
sensor A8,10.1,12.9,11.53370165745857,11.6,2.8000000000000007,0.6300106696164526,0.3969134438305709
sensor A9,9.2,11.9,10.444751381215468,10.4,2.700000000000001,0.6635238998130218,0.44026396562308107
sensor A10,9.4,12.1,10.527071823204423,10.5,2.6999999999999993,0.6884658793542282,0.47398526703499066
sensor A11,9.1,11.9,10.392265193370163,10.3,2.8000000000000007,0.6690340103907618,0.44760650705954597
sensor A12,9.4,11.9,10.38342541436464,10.2,2.5,0.6517083372998063,0.42472375690607805
sensor A13,8.0,11.1,9.43591160220994,9.3,3.0999999999999996,0.6717993028081599,0.45131430325352967
